tag,JD,launch_date,launch_year,type,variant,mission,site,agency_raw,agency,provider_group,state_code,category,agency_type,color_category,launch_code
2003-040,2452881.47,2003 Aug 29 2313:00,2003,Delta 4M,-,DSCS III B-6/IABS,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-041,2452891.69,2003 Sep  9 0429:00,2003,Titan 401B/Centaur,-,ORION 5,CC,3SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2003-U01,2452898.94,2003 Sep 16 1030?,2003,KT-1,-,KT-1 Test Payload,TYSC,PLA2AC,China (CASC / CALT / SAST),China,CN,F,state,state_china,OF
2003-042,2452909.76,2003 Sep 27 0611:44,2003,Kosmos 11K65M,-,Mozhaets 4,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-043,2452910.47,2003 Sep 27 2314:46,2003,Ariane 5G,-,e-Bird,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,DS
2003-044,2452913.67,2003 Oct  1 0402:59,2003,Zenit-3SL,-,Galaxy XIII/Horizons 1,KLA,SEALP,Intl Commercial (SeaLaunch),International Commercial,US,O,private,private_intl_commercial,OS
2003-045,2452927.54,2003 Oct 15 0100:03,2003,Chang Zheng 2F,-,Shenzhou 5 Fanhui Cang,JQ,CALT,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2003-046,2452929.70,2003 Oct 17 0452:08,2003,PSLV,C,IRS-P6,SHAR,ISRO,India (ISRO),India,IN,O,state,state_india,OS
2003-047,2452930.73,2003 Oct 18 0538:03,2003,Soyuz-FG,-,Soyuz 11F732 No. 213,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-048,2452931.18,2003 Oct 18 1617,2003,Titan II SLV,-,DMSP Block 5D-3 S-20,VS,2SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2003-049,2452933.64,2003 Oct 21 0316,2003,Chang Zheng 4B,-,ZY-1-2,TYSC,SAST,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2003-050,2452943.07,2003 Oct 30 1343:42,2003,Rokot,-,SERVIS-1,GIK-1,EUROK,Intl Commercial (Eurockot),International Commercial,RU,O,private,private_intl_commercial,OS
2003-051,2452946.81,2003 Nov  3 0720:04,2003,Chang Zheng 2D,-,FSW Service Module,JQ,SAST,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2003-052,2452958.17,2003 Nov 14 1601,2003,Chang Zheng 3A,-,Shentong yi hao 01 xing,XSC,CALT,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2003-053,2452967.77,2003 Nov 24 0622:00,2003,Proton-K/DM-2M,DM-2M,Yamal-201/202,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-F02,2452972.69,2003 Nov 29 0433,2003,H-IIA 2024,-,IGS Optical-2,TNSC,NASDA,Japan (JAXA / ISAS / NASDA),Japan,J,F,state,state_japan,OF
2003-054,2452975.92,2003 Dec  2 1004,2003,Atlas IIAS,-,INTRUDER 6?,VS,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2003-055,2452978.75,2003 Dec  5 0600:00,2003,Strela,-,Kondor-E GVM 14S135,GIK-5,RVSNR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-056,2452984.24,2003 Dec 10 1742:12,2003,Proton-K/Briz-M,-,Uragan 794,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-057,2452991.60,2003 Dec 18 0230,2003,Atlas 3B,SEC,UHF F/O F11,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2003-058,2452994.84,2003 Dec 21 0805:00,2003,Delta 7925-9.5,-,Navstar GPS SVN 47,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-059,2453001.40,2003 Dec 27 2130:00,2003,Soyuz-FG,Fregat,Amos-2,GIK-5,STSM,Intl Commercial (Starsem),International Commercial,F,O,private,private_intl_commercial,OS
2003-060,2453002.46,2003 Dec 28 2300:00,2003,Proton-K/DM-2M,DM-2M,Sesat-2,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
